date,venue,race_no,race_id,start_at,close_at,source_url,schedule_fetched_at_jst
2026-09-19,静岡,10,103820260919,1789814100,1789813800,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/10,2026-09-19T02:45:53+09:00
2026-09-19,松山,10,107520260919,1789814880,1789814580,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/10,2026-09-19T02:45:53+09:00
2026-09-19,静岡,11,113820260919,1789815720,1789815420,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/11,2026-09-19T02:45:53+09:00
2026-09-19,松山,11,117520260919,1789816560,1789816260,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/11,2026-09-19T02:45:53+09:00
2026-09-19,静岡,12,123820260919,1789817400,1789817100,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/12,2026-09-19T02:45:53+09:00
2026-09-19,川崎,1,013420260919,1789818000,1789817700,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/1,2026-09-19T02:45:53+09:00
2026-09-19,久留米,1,018320260919,1789818600,1789818300,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/1,2026-09-19T02:45:53+09:00
2026-09-19,川崎,2,023420260919,1789819200,1789818900,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/2,2026-09-19T02:45:53+09:00
2026-09-19,久留米,2,028320260919,1789819800,1789819500,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/2,2026-09-19T02:45:53+09:00
2026-09-19,川崎,3,033420260919,1789820400,1789820100,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/3,2026-09-19T02:45:53+09:00
2026-09-19,久留米,3,038320260919,1789821000,1789820700,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/3,2026-09-19T02:45:53+09:00
2026-09-19,川崎,4,043420260919,1789821600,1789821300,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/4,2026-09-19T02:45:53+09:00
2026-09-19,久留米,4,048320260919,1789822200,1789821900,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/4,2026-09-19T02:45:53+09:00
2026-09-19,川崎,5,053420260919,1789822800,1789822500,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/5,2026-09-19T02:45:53+09:00
2026-09-19,久留米,5,058320260919,1789823400,1789823100,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/5,2026-09-19T02:45:53+09:00
2026-09-19,川崎,6,063420260919,1789824000,1789823700,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/6,2026-09-19T02:45:53+09:00
2026-09-19,久留米,6,068320260919,1789824600,1789824300,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/6,2026-09-19T02:45:53+09:00
2026-09-19,川崎,7,073420260919,1789825200,1789824900,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/7,2026-09-19T02:45:53+09:00
2026-09-19,久留米,7,078320260919,1789825800,1789825500,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/7,2026-09-19T02:45:53+09:00
2026-09-19,川崎,8,083420260919,1789826400,1789826100,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/8,2026-09-19T02:45:53+09:00
2026-09-19,久留米,8,088320260919,1789827000,1789826700,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/8,2026-09-19T02:45:53+09:00
2026-09-19,川崎,9,093420260919,1789827600,1789827300,https://www.winticket.jp/keirin/kawasaki/racecard/2026091734/3/9,2026-09-19T02:45:53+09:00
2026-09-19,久留米,9,098320260919,1789828200,1789827900,https://www.winticket.jp/keirin/kurume/racecard/2026091783/3/9,2026-09-19T02:45:53+09:00
