date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,24,1-3-6,0.004170968506419663,154.4,-36,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,25,6-3-4,0.0037346409224499715,281.9,5,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,26,6-3-1,0.0024934509916673567,370.2,-8,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,27,4-1-2,0.0024290952357706895,46.4,-89,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,28,4-6-3,0.0023813548811138312,174.6,-58,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,29,1-4-2,0.002235429573451509,37.8,-92,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,30,4-2-1,0.0021247887878685636,100.1,-79,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,31,3-2-6,0.002081885502927327,15.8,-97,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,32,3-6-2,0.0019148519599612617,71.9,-86,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,33,6-4-3,0.001912156245331979,353.2,-32,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,34,1-2-4,0.0017910557801075848,82.3,-85,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,35,2-4-1,0.001763418356195841,142.9,-75,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,36,2-1-4,0.0016152221178907613,112.9,-82,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,37,1-6-3,0.0013448422415829099,284.5,-62,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,38,6-1-3,0.0011734217865025127,399.1,-53,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,39,2-3-6,0.000897549315414687,18.5,-98,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,40,6-3-2,0.0007987232873338686,144.2,-88,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,41,4-1-6,0.0006666317670921545,142.9,-90,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,42,1-4-6,0.0006134828905904285,99.7,-94,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,43,4-6-1,0.0005591650183060866,384.1,-79,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,44,1-6-4,0.0004729717807152697,229.3,-89,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,45,6-4-1,0.0004489926681675651,591.0,-73,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,46,6-1-4,0.0004126843838865027,569.1,-77,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,47,2-6-3,0.00034986835650320584,56.9,-98,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,48,6-2-3,0.000338504408485325,115.1,-96,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,49,4-2-6,0.00018678962027276463,91.1,-98,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,50,4-6-2,0.00017911646271615277,202.1,-96,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,51,2-4-6,0.0001550216412174608,155.2,-98,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,52,6-4-2,0.0001438251247391851,409.7,-94,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,53,2-6-4,0.00012304629827545783,194.5,-98,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,54,6-2-4,0.00011904967579902032,370.2,-96,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,55,1-2-6,0.00010512307830315472,109.7,-99,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,56,1-6-2,0.00010115392171658356,245.8,-98,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,57,2-1-6,9.480281019824998e-05,90.1,-99,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,58,6-1-2,8.826032664820273e-05,451.9,-96,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,59,2-6-1,8.215245342908805e-05,139.6,-99,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,60,6-2-1,7.948408919163527e-05,399.1,-97,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trio,3連複,1,3-4-6,0.04348502890157561,10.1,-56,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trio,3連複,2,1-2-6,0.0005509766794869143,48.1,-97,False
